URL,Writer,Publish Date,Word Count
https://example.com/article1,Jean Dupont,15/01/2024,1200
https://example.com/article2,Marie Martin,16/01/2024,850
https://example.com/article3,Pierre Durand,17/01/2024,2500
https://example.com/article4,Sophie Bernard,18/01/2024,1800
https://example.com/article5,Jean Dupont,19/01/2024,1350
https://example.com/article6,Marie Martin,20/01/2024,920
https://example.com/article7,Pierre Durand,21/01/2024,3200
https://example.com/article8,Sophie Bernard,22/01/2024,1650
https://example.com/article9,Jean Dupont,23/01/2024,1100
https://example.com/article10,Marie Martin,24/01/2024,880
https://example.com/article11,Pierre Durand,25/01/2024,2800
https://example.com/article12,Sophie Bernard,26/01/2024,1750
https://example.com/article13,Jean Dupont,27/01/2024,1280
https://example.com/article14,Marie Martin,28/01/2024,900
https://example.com/article15,Pierre Durand,29/01/2024,4500
https://example.com/article16,Sophie Bernard,30/01/2024,1700
https://example.com/article17,Jean Dupont,31/01/2024,1150
https://example.com/article18,Marie Martin,01/02/2024,870
https://example.com/article19,Pierre Durand,02/02/2024,3500
https://example.com/article20,Sophie Bernard,03/02/2024,1720